Date : 2025-05-04 23:17:36
Directory : c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith
Total : 306 files,  204434 codes, 10046 comments, 1853 blanks, all 216333 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java | Java               |         15 |          6 |          6 |         27 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\AndroidManifest.xml                                             | XML                |         39 |          1 |          7 |         47 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\java\com\isaac\zenith\MainActivity.java                         | Java               |          3 |          0 |          3 |          6 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml                     | XML                |         34 |          0 |          1 |         35 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\drawable\ic_launcher_background.xml                         | XML                |        170 |          0 |          1 |        171 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\layout\activity_main.xml                                    | XML                |         11 |          0 |          2 |         13 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                           | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                     | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\values\ic_launcher_background.xml                           | XML                |          4 |          0 |          0 |          4 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\values\strings.xml                                          | XML                |          7 |          0 |          1 |          8 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\values\styles.xml                                           | XML                |         16 |          2 |          4 |         22 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\main\res\xml\file_paths.xml                                          | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java                | Java               |          9 |          5 |          5 |         19 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\build.gradle                                                                 | Gradle             |         20 |          3 |          7 |         30 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\capacitor.settings.gradle                                                    | Gradle             |         14 |          1 |          7 |         22 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\gradle.properties                                                            | Java Properties    |          2 |         15 |          6 |         23 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\gradle\wrapper\gradle-wrapper.properties                                     | Java Properties    |          7 |          0 |          1 |          8 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\gradlew.bat                                                                  | Batch              |         41 |         32 |         22 |         95 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\settings.gradle                                                              | Gradle             |          4 |          0 |          1 |          5 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\variables.gradle                                                             | Gradle             |         16 |          0 |          0 |         16 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\angular.json                                                                         | JSON               |        163 |          0 |          0 |        163 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\capacitor.config.ts                                                                  | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\ionic.config.json                                                                    | JSON               |          5 |          0 |          1 |          6 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\ionic.starter.json                                                                   | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\karma.conf.js                                                                        | JavaScript         |         37 |          6 |          2 |         45 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\package-lock.json                                                                    | JSON               |     18,484 |          0 |          1 |     18,485 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\package.json                                                                         | JSON               |         73 |          0 |          1 |         74 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\account\account.page.html                                                    | HTML               |         38 |          0 |          0 |         38 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\account\account.page.scss                                                    | SCSS               |         77 |          0 |          9 |         86 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\account\account.page.spec.ts                                                 | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\account\account.page.ts                                                      | TypeScript         |         31 |          0 |          6 |         37 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.component.html                                                           | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.component.scss                                                           | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.component.spec.ts                                                        | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.component.ts                                                             | TypeScript         |         47 |          1 |          6 |         54 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.routes.ts                                                                | TypeScript         |         42 |          0 |          2 |         44 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\back-button\back-button.component.html                            | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\back-button\back-button.component.scss                            | SCSS               |         25 |          2 |          2 |         29 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\back-button\back-button.component.ts                              | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\bottom-sheet\bottom-sheet.scss                                    | SCSS               |         84 |          0 |          4 |         88 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\bottom-sheet\bottom-sheet.ts                                      | TypeScript         |         54 |          2 |          6 |         62 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\copy-button\copy-button.ts                                        | TypeScript         |         52 |          4 |          7 |         63 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\create-group-form\create-group-form.html                          | HTML               |         39 |          2 |          5 |         46 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\create-group-form\create-group-form.scss                          | SCSS               |         68 |          2 |         13 |         83 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\create-group-form\create-group-form.ts                            | TypeScript         |         72 |          9 |         14 |         95 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\header\header.html                                                | HTML               |         14 |          0 |          0 |         14 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\header\header.scss                                                | SCSS               |         15 |          0 |          2 |         17 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\header\header.ts                                                  | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\overflow-menu\overflow-menu.scss                                  | SCSS               |         14 |          0 |          0 |         14 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\overflow-menu\overflow-menu.ts                                    | TypeScript         |         38 |          0 |          5 |         43 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\tab-bar\tab-bar.html                                              | HTML               |         23 |          0 |          2 |         25 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\tab-bar\tab-bar.scss                                              | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\tab-bar\tab-bar.ts                                                | TypeScript         |         21 |          0 |          2 |         23 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\cursos\cursos.page.html                                                      | HTML               |         12 |          0 |          2 |         14 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\cursos\cursos.page.scss                                                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\cursos\cursos.page.ts                                                        | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.html                                                        | HTML               |         19 |          3 |          4 |         26 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.scss                                                        | SCSS               |        170 |          0 |          8 |        178 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.spec.ts                                                     | TypeScript         |         14 |          0 |          4 |         18 |
